#{"t_start": 1736528470.7258098, "env_id": "footsteps-planning-any-withball-v0"}
r,l,t
-18.252925,18,814.137431
-43.046597,39,814.57408
-22.855828,22,815.396993
-57.696688,50,815.922978
-12.381738,13,817.06566
-45.586549,40,817.435086
-28.151096,26,818.427447
-36.795214,35,819.071224
-27.746955,27,819.952082
-60.751765,50,820.644736
-55.868859,50,822.026372
-42.712536,40,823.90911
-19.064752,18,824.832435
-21.441856,21,825.270133
-37.301612,34,825.769478
-13.827687,14,826.549011
-58.094689,50,826.939728
-37.736837,34,828.035686
-34.532103,31,828.755572
-58.016739,50,829.536043
-22.782152,22,830.686949
-29.732853,28,831.156666
-28.726399,27,831.748827
-31.212587,29,832.471214
-36.155068,33,833.089302
-38.39363,34,833.773443
-58.201626,50,834.489302
-34.195223,31,835.533685
-39.642765,36,836.259266
-60.52428,50,837.119327
-36.194675,33,838.262069
-49.774792,43,839.028471
-10.52864,11,839.966938
-13.060557,13,840.226122
